ID,Aware_M,Aware_P,Aware_T,Aware_B,Aware_MV,Strong_M,Strong_P,Strong_T,Strong_B,Strong_MV,Known_M,Known_P,Known_T,Known_B,Known_MV,Attr_M,Attr_P,Attr_T,Attr_B,Attr_MV,Dr_1,Dr_2,Dr_3,Dr_4,Dr_5,Dr_6,Dr_7,Dr_8,Dr_9,Dr_10,Dr_11,Dr_12,Dr_13,Dr_14,Dr_15,HowLong,NPS,Prod_data,Prod_sms,Prod_call,Prod_extra,Prod_other,Cont_winkel,Cont_tel,Cont_mail,Cont_social,Cont_web,Gender,Age,Dr_12r,F_pricevalue,F_productquality,F_innovativeness,F_CRM,F_community,,,,,,,
R_ekUEHlCPlQ53K85,4,4,4,4,5,6,6,6,6,5,6,6,6,5,3,6,3,6,6,6,6,5,6,6,6,6,6,6,6,6,6,3,6,6,6,4,9,5,2,3,4,1,1,5,7,7,7,0,30,5,6.00,5.50,6.00,6.00,5.50,,,,,,,
R_3W9fkaKlLz34ggl,3,5,1,1,4,6,5,#NULL!,#NULL!,3,6,6,#NULL!,#NULL!,3,4,2,#NULL!,#NULL!,6,2,3,5,4,7,6,6,5,6,5,6,3,5,4,5,2,8,4,5,3,2,#NULL!,7,4,5,5,3,0,21,5,6.33,5.50,4.67,4.50,2.50,,,,,,,
R_3Q9sUHvdQCsHsHz,5,5,5,5,5,6,7,6,6,6,7,7,7,7,6,6,7,7,7,6,5,5,4,6,4,5,3,5,5,4,3,5,6,5,4,6,7,3,4,2,5,1,1,5,6,6,7,0,25,3,4.00,3.00,5.00,5.50,5.00,,,,,,,
R_cSZlC08Kv6PzpzL,5,5,5,5,5,2,1,6,5,6,7,7,7,7,6,1,1,5,5,6,4,6,5,4,3,6,6,4,6,6,5,5,5,6,3,4,8,5,3,4,2,1,1,1,2,1,7,1,31,3,5.00,4.00,4.67,4.00,5.00,,,,,,,
R_6tHGo1zMPRWt4Gh,4,4,3,3,5,6,6,4,6,6,6,6,4,4,4,4,4,3,3,6,4,3,6,6,5,5,5,5,5,4,5,2,6,5,6,4,7,5,4,3,2,1,2,2,6,6,6,1,27,6,5.00,5.50,5.67,5.50,3.50,,,,,,,
R_bJEYhM3buNR4Z4F,1,2,3,1,5,#NULL!,5,3,#NULL!,4,#NULL!,7,6,#NULL!,3,#NULL!,5,2,#NULL!,5,2,2,7,2,6,7,7,1,5,5,6,5,6,6,6,4,10,4,3,2,5,#NULL!,1,7,7,4,6,0,28,3,6.67,4.50,6.00,1.50,2.00,,,,,,,
R_2mGpDtAmwIVSzhr,4,4,3,2,5,6,7,3,3,6,6,7,5,4,2,4,5,3,3,5,4,5,5,3,7,7,7,4,5,5,6,3,5,5,6,6,9,5,4,2,3,#NULL!,6,3,6,4,6,0,25,5,7.00,5.50,5.33,3.50,4.50,,,,,,,
R_eULGJdM3FDKmVSt,2,4,2,2,5,5,1,4,5,6,6,7,5,6,4,4,1,4,4,7,6,4,7,4,7,7,7,5,6,5,5,4,6,6,6,5,10,5,3,4,2,1,1,1,6,3,6,0,20,4,7.00,4.50,6.00,4.50,5.00,,,,,,,
R_71ldcl9ZO3UTMJn,3,4,4,3,4,4,7,5,4,6,6,6,6,6,5,4,7,4,4,6,4,4,6,7,7,7,6,5,5,6,5,5,5,5,5,5,7,3,4,2,1,5,4,1,6,6,6,1,28,3,6.67,4.00,5.00,6.00,4.00,,,,,,,
R_eet9ltQZtxmwCDr,4,4,2,2,5,2,2,4,4,6,7,7,6,6,3,4,4,4,4,6,7,7,7,7,7,7,7,7,7,7,7,3,6,7,7,4,10,3,2,4,5,#NULL!,7,4,7,7,7,1,24,5,7.00,6.00,6.67,7.00,7.00,,,,,,,
R_4UUMclxaVbyYd3n,4,4,3,3,5,7,7,5,3,7,7,7,6,6,3,5,5,4,3,7,4,7,7,4,7,7,7,6,7,7,7,3,7,7,7,4,10,5,3,2,4,#NULL!,2,2,6,7,7,1,23,5,7.00,6.00,7.00,5.00,5.50,,,,,,,
R_9BPXv7NczNjlDGR,5,3,3,3,5,5,4,4,6,6,6,6,6,6,5,5,4,3,3,6,4,4,6,6,6,6,6,6,5,5,6,6,6,5,6,4,10,4,5,1,2,3,3,5,5,7,7,1,22,2,6.00,4.00,5.67,6.00,4.00,,,,,,,
R_0cGu9oxvvWs6h9z,5,4,3,2,5,5,5,5,4,5,7,7,6,4,5,6,3,3,3,7,4,5,6,7,5,6,6,7,7,5,6,3,7,5,5,4,10,3,4,2,5,1,3,4,7,1,7,1,21,5,5.67,5.50,5.67,7.00,4.50,,,,,,,
R_9mBXzFfssK8YWTb,2,4,2,2,4,5,7,7,5,4,7,7,7,7,6,3,3,5,4,6,4,4,6,5,7,6,6,4,6,5,7,2,6,6,6,3,9,1,3,2,4,5,4,4,4,4,6,0,21,6,6.33,6.50,6.00,4.50,4.00,,,,,,,
R_a67D46M2EZIM7uB,4,2,2,5,4,1,1,3,6,6,7,7,7,7,6,3,3,6,6,6,4,4,6,6,6,6,6,5,5,5,5,2,4,4,4,2,8,2,5,4,3,1,6,4,7,2,7,0,19,6,6.00,5.50,4.00,5.50,4.00,,,,,,,
R_a3LVXmbgkQeWA05,3,5,2,2,4,5,6,6,5,7,7,7,5,3,3,6,7,7,3,6,6,6,7,5,7,7,7,4,6,6,6,3,5,5,4,1,8,4,5,3,2,1,4,3,6,6,7,1,23,5,7.00,5.50,4.67,4.50,6.00,,,,,,,
R_41ttKHAe0kOys8R,4,1,1,4,4,4,#NULL!,#NULL!,7,7,7,#NULL!,#NULL!,7,6,5,#NULL!,#NULL!,7,6,4,4,4,4,3,5,5,4,6,4,6,1,6,7,5,4,8,4,2,5,3,1,1,1,7,6,6,1,27,7,4.33,6.50,6.00,4.00,4.00,,,,,,,
R_5BGFW63ZPdFDGqV,4,1,4,4,4,1,#NULL!,6,6,7,6,#NULL!,7,6,4,1,#NULL!,6,6,7,4,6,5,4,7,7,6,4,4,4,6,3,5,6,5,4,9,3,5,4,2,1,7,3,5,5,7,0,28,5,6.67,5.50,5.33,4.00,5.00,,,,,,,
R_cMGHYc2qHpnJaT3,2,4,2,2,5,7,7,7,5,5,7,7,7,7,3,4,4,4,4,7,6,5,7,5,6,7,7,6,5,6,7,1,6,6,6,4,10,5,3,2,4,1,1,5,7,1,7,0,29,7,6.67,7.00,6.00,5.50,5.50,,,,,,,
R_cBn6OgDo4oYCj1b,4,4,4,4,4,5,5,5,5,5,6,6,6,6,5,4,5,5,4,5,4,4,4,4,5,5,4,3,4,3,2,4,4,5,4,5,6,5,2,3,4,1,3,4,4,4,4,0,32,4,4.67,3.00,4.33,3.50,4.00,,,,,,,
R_eKfz9CQU2VqU0ol,4,4,4,1,4,6,6,6,#NULL!,6,6,6,5,#NULL!,4,4,6,6,#NULL!,6,6,4,6,4,6,7,6,3,5,5,2,2,5,4,4,4,9,2,4,5,3,1,4,6,6,5,6,0,23,6,6.33,4.00,4.33,3.50,5.00,,,,,,,
R_cCiE4YaquymHZVr,1,1,2,5,5,#NULL!,#NULL!,6,7,6,#NULL!,#NULL!,4,7,4,#NULL!,#NULL!,3,5,5,4,1,5,4,3,3,3,3,2,3,6,2,6,6,7,2,8,3,2,4,5,1,5,5,5,5,5,1,23,6,3.00,6.00,6.33,3.50,2.50,,,,,,,
R_0j0FUl5CrWt0pH7,5,2,2,2,5,6,6,6,2,5,7,7,7,6,5,6,6,6,4,4,1,4,7,4,7,7,6,5,5,4,5,2,6,3,5,5,8,5,4,3,2,1,1,1,6,2,6,0,23,6,6.67,5.50,4.67,4.50,2.50,,,,,,,
R_4UCRlkz7L45nvq5,1,2,4,1,5,#NULL!,6,5,#NULL!,7,#NULL!,7,6,#NULL!,5,#NULL!,6,5,#NULL!,7,5,5,6,6,6,7,7,5,5,5,6,2,5,6,7,6,9,5,2,4,3,1,4,2,7,7,7,0,25,6,6.67,6.00,6.00,5.50,5.00,,,,,,,
R_aeAXX928gTGSDTD,2,3,2,2,4,5,6,6,5,5,7,7,7,7,3,5,6,6,6,5,4,4,4,6,6,6,6,5,6,6,5,3,5,4,4,4,7,5,4,2,3,1,5,3,6,5,6,1,27,5,6.00,5.00,4.33,5.50,4.00,,,,,,,
R_1zwSjqgkDve03m5,2,2,2,2,4,5,5,5,4,7,6,6,6,4,6,4,5,6,3,7,6,6,6,4,6,7,6,6,7,6,6,2,7,7,7,5,10,3,5,2,4,1,2,4,7,5,7,0,25,6,6.33,6.00,7.00,5.00,6.00,,,,,,,
R_cSxiXWpUTzNG18h,4,4,4,4,4,6,6,6,6,5,7,7,7,7,3,6,6,6,6,6,4,6,6,6,4,6,6,6,6,4,3,2,6,5,7,5,9,2,5,4,3,1,4,1,5,4,6,0,23,6,5.33,4.50,6.00,6.00,5.00,,,,,,,
R_3RfAa47u45bgmhv,4,5,4,1,5,7,7,7,#NULL!,3,7,7,7,#NULL!,6,3,7,3,#NULL!,7,6,5,6,3,4,7,7,3,4,3,4,7,5,5,3,4,9,5,3,4,2,1,1,4,7,2,7,0,21,1,6.00,2.50,4.33,3.00,5.50,,,,,,,
R_1WYZ0yiDXgl09ed,5,5,5,5,5,5,5,5,4,7,7,7,7,7,3,1,4,1,3,7,2,5,4,3,7,7,7,5,7,7,7,1,7,7,7,3,10,3,4,2,5,1,1,3,7,2,7,1,23,7,7.00,7.00,7.00,4.00,3.50,,,,,,,
R_6eRa4S2pohyk3tP,5,5,2,4,5,3,6,2,6,6,6,6,6,6,3,2,5,3,6,7,3,6,6,6,6,6,6,6,7,6,6,5,6,7,7,3,8,5,1,2,#NULL!,4,4,4,6,6,6,0,28,3,6.00,4.50,6.67,6.00,4.50,,,,,,,
R_cIwCqH4krnCzcAl,4,3,4,3,5,7,6,7,7,6,7,7,7,7,5,4,4,3,5,7,6,7,7,7,7,7,7,7,6,6,5,2,5,6,7,4,10,5,4,3,2,1,1,1,6,7,7,1,20,6,7.00,5.50,6.00,7.00,6.50,,,,,,,
R_3vCYQhfXX6luxMx,3,5,4,3,4,3,7,6,5,4,4,7,7,6,4,2,7,7,5,6,4,6,6,7,4,4,4,7,7,6,3,4,6,4,5,2,9,4,3,5,2,1,7,6,4,3,3,1,26,4,4.00,3.50,5.00,7.00,5.00,,,,,,,
R_erGVXplwszGY1Eh,5,4,4,4,5,5,5,5,5,7,7,7,7,7,5,1,1,2,3,6,5,5,6,5,6,6,6,5,5,5,4,5,7,6,6,4,8,4,5,3,2,1,1,3,7,1,7,0,32,3,6.00,3.50,6.33,5.00,5.00,,,,,,,
R_3x8p5QCkNLHbNnn,5,3,2,4,5,6,6,5,5,6,7,7,7,5,6,6,5,6,5,7,4,5,6,3,6,6,6,3,5,5,5,5,5,4,3,3,8,3,4,5,2,1,3,3,6,6,5,1,27,3,6.00,4.00,4.00,3.00,4.50,,,,,,,
R_08tX9hHRLminhch,4,4,1,4,4,6,7,#NULL!,6,5,6,7,#NULL!,5,3,4,7,#NULL!,5,5,3,3,4,4,6,5,5,3,4,3,5,6,6,5,4,5,5,5,3,4,2,#NULL!,1,1,5,3,7,0,26,2,5.33,3.50,5.00,3.50,3.00,,,,,,,
R_cD7oJGNnmKHiWZn,3,3,3,4,5,5,5,7,6,6,7,7,7,7,7,4,4,4,4,6,6,7,7,7,7,6,6,7,6,7,6,6,7,6,7,5,9,4,5,2,3,1,3,3,7,7,7,1,23,2,6.33,4.00,6.67,7.00,6.50,,,,,,,
R_6gIweBrsN0kSQTP,1,4,4,2,4,#NULL!,7,6,6,3,#NULL!,7,7,7,2,#NULL!,7,6,5,4,4,6,7,6,7,5,6,6,5,3,5,6,6,3,6,4,6,5,2,4,3,1,1,1,1,1,7,0,26,2,6.00,3.50,5.00,6.00,5.00,,,,,,,
R_3xj5tKMQphfnzGl,4,4,4,4,5,4,6,7,3,5,7,7,7,5,5,3,4,6,3,7,4,4,6,3,7,7,7,4,6,6,4,5,7,5,6,5,10,4,5,3,2,1,4,3,6,6,7,1,26,3,7.00,3.50,6.00,3.50,4.00,,,,,,,
R_cFJMF3FYs8wZVlj,5,4,5,4,5,6,6,7,6,6,7,7,7,6,6,6,6,7,6,7,4,4,6,5,4,4,6,3,4,4,6,2,6,6,7,6,9,4,5,3,2,1,3,5,7,5,7,0,22,6,4.67,6.00,6.33,4.00,4.00,,,,,,,
R_0uGRm2mvJVDAYWV,3,4,3,2,4,6,7,5,6,6,7,7,5,7,5,6,6,5,3,5,5,6,7,6,7,7,6,6,6,6,6,3,6,5,7,3,10,1,2,4,3,5,4,3,6,6,6,0,25,5,6.67,5.50,6.00,6.00,5.50,,,,,,,
R_d0TmWO8pJ10xg9v,1,5,1,1,5,#NULL!,4,#NULL!,#NULL!,4,#NULL!,7,#NULL!,#NULL!,2,#NULL!,4,#NULL!,#NULL!,6,3,2,4,4,5,5,4,3,4,2,3,5,4,1,5,4,6,#NULL!,5,3,#NULL!,#NULL!,1,5,4,4,4,1,30,3,4.67,3.00,3.33,3.50,2.50,,,,,,,
R_3eKNIWrReXkwFYp,2,3,2,2,4,5,5,4,4,4,6,6,6,6,6,5,4,5,4,7,4,5,6,6,5,6,7,6,5,5,6,2,7,6,7,5,10,4,5,2,3,1,4,1,5,4,4,0,28,6,6.00,6.00,6.67,6.00,4.50,,,,,,,
R_bOR8Hrccp85qHrL,3,4,2,3,4,5,6,6,5,6,7,7,7,7,6,6,6,6,6,6,4,6,6,5,6,6,6,5,6,4,6,2,7,7,6,4,8,3,4,5,2,1,5,4,5,6,7,1,21,6,6.00,6.00,6.67,5.00,5.00,,,,,,,
R_0VAj22BeTdjz3IV,4,5,2,5,5,6,1,4,5,6,7,7,5,5,5,5,1,2,4,5,4,4,6,4,6,5,6,5,6,3,2,3,5,4,5,3,8,3,2,4,1,5,4,7,7,7,5,1,23,5,5.67,3.50,4.67,4.50,4.00,,,,,,,
R_5gsMuFwRo63PGh7,4,2,2,2,5,7,4,4,5,7,7,7,6,5,5,5,2,6,6,7,2,2,6,6,6,6,6,5,7,5,6,2,4,4,6,5,8,4,5,3,1,2,4,6,7,3,5,0,21,6,6.00,6.00,4.67,5.50,2.00,,,,,,,
R_3aP6Md9BMnOColv,2,3,4,3,5,4,5,4,4,4,5,6,5,5,3,3,4,4,3,5,5,3,5,5,4,5,5,6,5,5,5,3,5,5,5,5,8,3,2,5,4,1,3,3,5,5,3,0,23,5,4.67,5.00,5.00,5.50,4.00,,,,,,,
R_8vvvLa2zZDG2DFH,2,4,1,4,5,5,6,#NULL!,6,7,7,7,#NULL!,7,5,4,4,#NULL!,4,7,7,4,7,7,7,7,7,5,7,7,6,4,7,7,6,4,10,2,4,5,3,1,3,3,6,7,7,1,27,4,7.00,5.00,6.67,6.00,5.50,,,,,,,
R_1Mql4y8QBv1W79X,5,4,4,4,5,3,6,5,5,7,6,6,6,6,6,3,3,3,5,6,4,7,7,4,7,7,7,5,5,7,6,4,4,6,7,3,8,4,2,5,3,1,3,5,6,4,5,1,27,4,7.00,5.00,5.67,4.50,5.50,,,,,,,
R_6DQHOGgBogNHJtP,1,4,3,1,5,#NULL!,6,7,#NULL!,7,#NULL!,7,7,#NULL!,6,#NULL!,6,7,#NULL!,7,4,6,7,5,5,7,7,4,5,7,5,3,7,4,6,4,8,5,4,2,3,1,4,5,7,6,6,0,20,5,6.33,5.00,5.67,4.50,5.00,,,,,,,
R_9Bl3b72OFiFU5y5,5,5,5,5,5,2,5,5,5,5,7,7,7,7,6,2,5,5,5,6,4,5,5,4,5,6,5,4,5,5,6,1,7,7,7,5,8,5,3,2,4,1,2,7,7,7,4,0,24,7,5.33,6.50,7.00,4.00,4.50,,,,,,,
R_5d05VxT6u6oT2eN,5,3,2,3,5,4,4,3,5,6,6,6,3,5,2,4,7,4,5,7,5,6,6,6,6,6,6,6,6,6,5,5,6,6,7,6,8,5,4,2,3,1,3,3,7,7,6,0,23,3,6.00,4.00,6.33,6.00,5.50,,,,,,,
R_4SFAOm7rJI2wHcN,4,4,4,4,5,5,6,6,5,6,7,7,7,7,5,5,6,6,5,7,4,5,6,3,5,5,7,4,6,5,4,1,7,6,6,3,7,5,3,2,4,1,6,3,6,5,7,0,25,7,5.67,5.50,6.33,3.50,4.50,,,,,,,
R_1RNSV7sxlQzWfKB,4,5,4,5,5,6,6,6,6,6,6,7,6,7,7,5,7,5,5,7,4,4,7,6,6,6,7,5,7,7,5,1,7,5,6,5,7,2,5,3,4,1,6,6,7,3,7,1,23,7,6.33,6.00,6.00,5.50,4.00,,,,,,,
R_bJV7L6xB52k30Db,5,3,3,5,5,5,5,3,4,5,6,6,6,6,5,3,3,3,3,6,5,5,6,6,6,6,6,6,6,6,3,2,6,6,6,4,9,4,5,2,3,1,1,3,7,3,7,1,35,6,6.00,4.50,6.00,6.00,5.00,,,,,,,
R_41OvrEef1FoYCKF,1,1,2,1,5,#NULL!,#NULL!,6,#NULL!,5,#NULL!,#NULL!,4,#NULL!,4,#NULL!,#NULL!,5,#NULL!,6,6,6,6,5,7,7,7,7,7,7,7,5,5,6,6,4,8,2,5,4,3,1,6,5,5,5,6,0,19,3,7.00,5.00,5.67,6.00,6.00,,,,,,,
R_eyYXmX6mobubrmZ,5,3,5,4,5,6,5,6,5,7,6,6,7,5,5,5,5,5,5,7,3,5,5,5,6,7,7,5,6,6,4,4,7,7,7,5,10,4,3,2,5,1,4,1,5,3,7,0,25,4,6.67,4.00,7.00,5.00,4.00,,,,,,,
R_7Vyg6thuce2hDUx,4,4,3,2,5,5,6,6,4,6,7,7,7,6,6,5,5,6,5,6,5,5,7,5,6,6,7,5,6,5,5,3,6,6,4,4,9,5,4,2,3,1,3,3,6,6,7,0,34,5,6.33,5.00,5.33,5.00,5.00,,,,,,,
R_3UvtmqDBGqaGUSx,4,4,4,4,4,4,4,5,5,5,6,6,6,6,4,4,4,5,5,6,4,4,5,5,5,5,6,4,4,5,5,4,4,4,6,4,7,3,4,5,2,1,5,3,5,3,3,1,29,4,5.33,4.50,4.67,4.50,4.00,,,,,,,
R_cHkq4BPZczE6qdD,4,4,2,2,4,6,5,6,3,5,6,6,6,5,2,6,6,6,3,5,5,5,5,5,5,6,4,5,5,6,3,7,6,6,6,3,9,5,3,4,2,1,2,3,4,4,5,0,25,1,5.00,2.00,6.00,5.00,5.00,,,,,,,
R_4SjRIf4zpLPnYod,5,5,5,5,3,5,7,7,6,5,7,7,7,7,2,4,5,6,5,5,4,5,4,4,5,5,5,4,5,5,3,5,5,6,5,2,5,5,3,4,2,1,3,1,3,1,7,0,33,3,5.00,3.00,5.33,4.00,4.50,,,,,,,
R_2060NjyEQWeRrnL,4,4,3,4,5,3,5,5,4,7,6,7,5,6,5,3,5,5,5,7,5,6,7,7,7,6,7,7,7,7,5,3,7,6,6,5,10,4,5,3,2,1,5,5,6,6,6,0,22,5,6.67,5.00,6.33,7.00,5.50,,,,,,,
R_eswkzPqoJyFZf13,3,4,3,4,4,4,5,4,5,6,6,6,6,6,5,5,6,5,6,6,4,3,6,5,5,6,5,5,4,5,5,3,5,5,6,3,8,2,5,4,3,1,5,5,6,5,6,1,21,5,5.33,5.00,5.33,5.00,3.50,,,,,,,
R_5yEVrq44zRwo7zL,4,4,4,1,4,6,6,6,#NULL!,6,5,6,6,#NULL!,3,6,6,6,#NULL!,6,4,4,6,5,5,5,6,4,4,4,5,2,6,3,5,4,8,2,4,5,3,1,1,1,7,7,7,1,25,6,5.33,5.50,4.67,4.50,4.00,,,,,,,
R_ehA3iJFDxegNxtz,4,4,4,5,5,4,4,4,3,3,7,7,7,7,5,2,2,2,5,6,4,4,5,5,5,6,7,6,5,5,3,2,7,7,7,3,10,1,3,4,2,5,3,5,4,6,7,1,27,6,6.00,4.50,7.00,5.50,4.00,,,,,,,
R_38VYCN4QA7tydRX,4,5,4,3,5,3,5,6,5,7,7,7,7,6,5,3,3,5,5,7,7,7,7,7,7,7,7,7,7,6,7,3,7,7,7,5,10,4,5,3,2,1,2,2,6,7,5,0,22,5,7.00,6.00,7.00,7.00,7.00,,,,,,,
R_aWDhcC4HWvqTWpD,2,3,1,2,4,6,6,#NULL!,6,7,6,6,#NULL!,6,6,4,6,#NULL!,4,7,4,5,6,5,6,7,7,6,6,6,6,2,7,6,6,4,10,2,4,3,5,#NULL!,5,6,7,7,7,1,23,6,6.67,6.00,6.33,5.50,4.50,,,,,,,
R_5A6Fu7hoX5dp8Zn,4,5,5,4,5,3,7,5,6,5,5,7,6,5,5,3,7,6,5,7,5,6,6,6,6,6,6,6,6,6,5,5,6,6,6,4,10,4,2,3,1,5,3,3,5,7,6,1,28,3,6.00,4.00,6.00,6.00,5.50,,,,,,,
R_dbB1xArNY5XaVBb,4,4,4,4,4,4,5,4,4,5,6,6,6,6,3,4,4,4,4,6,1,4,5,4,4,4,6,4,5,4,6,2,6,4,4,4,10,3,4,5,2,1,5,3,5,5,5,1,35,6,4.67,6.00,4.67,4.00,2.50,,,,,,,
R_2nr5wktxMtE0F0x,4,4,4,4,4,4,4,4,4,6,6,6,6,6,4,2,2,2,2,7,4,5,6,6,6,3,6,6,6,6,6,2,5,6,6,3,9,3,2,5,1,4,2,3,6,3,5,0,25,6,5.00,6.00,5.67,6.00,4.50,,,,,,,
R_9G1fVnxEhGgaNb7,1,4,3,3,4,#NULL!,5,4,4,3,#NULL!,5,6,5,2,#NULL!,5,2,3,6,4,4,6,5,6,6,6,5,5,5,7,2,5,6,5,4,8,5,4,2,3,1,3,5,5,6,6,0,19,6,6.00,6.50,5.33,5.00,4.00,,,,,,,
R_e3PW8Yw5YTasoTj,5,2,1,1,5,7,7,#NULL!,#NULL!,7,7,7,#NULL!,#NULL!,7,4,4,#NULL!,#NULL!,7,4,4,6,6,5,6,6,4,5,6,6,3,4,6,6,3,9,5,4,3,2,1,1,5,5,5,5,1,32,5,5.67,5.50,5.33,5.00,4.00,,,,,,,
R_agT7OMBM9ojy96J,4,5,2,3,5,6,6,6,6,6,7,7,7,7,7,6,3,4,4,7,4,6,7,6,7,7,7,6,7,6,7,1,6,5,7,3,10,2,1,3,4,5,5,5,7,6,7,1,25,7,7.00,7.00,6.00,6.00,5.00,,,,,,,
R_4Ufv7kyIhDdXKkZ,2,4,2,2,5,4,6,4,4,7,6,7,6,4,3,5,5,5,5,7,4,5,4,6,7,6,6,5,6,6,3,6,5,5,5,3,8,5,4,3,2,1,5,2,7,1,6,0,22,2,6.33,2.50,5.00,5.50,4.50,,,,,,,
R_0Up9G3YoML0Kk8R,5,5,4,4,5,5,7,6,4,6,6,7,6,5,3,5,7,4,4,7,4,5,6,6,6,6,6,4,6,6,6,3,7,6,7,5,10,5,3,2,4,1,4,5,5,6,6,0,26,5,6.00,5.50,6.67,5.00,4.50,,,,,,,
R_aeKuiqQ29ypmFeZ,5,5,5,5,5,4,5,6,5,7,7,7,7,7,3,5,5,6,6,7,5,5,6,6,6,7,7,6,7,7,6,1,7,7,7,4,9,4,5,1,3,2,5,1,6,4,6,0,21,7,6.67,6.50,7.00,6.00,5.00,,,,,,,
R_a4uxSkbKTJcabuB,3,3,1,2,5,6,6,#NULL!,6,6,7,7,#NULL!,7,5,5,6,#NULL!,5,6,4,4,4,2,6,6,7,4,6,4,6,5,6,5,5,5,8,3,4,1,2,5,2,4,4,5,6,1,18,3,6.33,4.50,5.33,3.00,4.00,,,,,,,
R_9uxjhrZEBz8ixV3,5,3,3,4,5,7,7,7,6,7,7,7,5,7,5,5,5,5,5,7,7,7,7,7,7,5,7,7,7,7,6,5,5,7,7,3,10,3,5,4,2,1,1,7,7,7,7,1,25,3,6.33,4.50,6.33,7.00,7.00,,,,,,,
R_bP0Brl9aX1X2Ey9,3,5,5,1,5,6,6,6,#NULL!,6,4,7,7,#NULL!,7,4,6,6,#NULL!,7,4,5,7,4,7,7,7,7,6,4,6,5,7,6,6,3,9,3,5,4,2,1,3,3,6,6,6,1,23,3,7.00,4.50,6.33,5.50,4.50,,,,,,,
R_eyqc2NkksZYTrdH,4,1,4,2,4,5,#NULL!,5,3,7,6,#NULL!,7,5,3,3,#NULL!,6,2,7,3,3,3,5,7,7,7,4,5,4,5,6,5,5,6,4,7,4,2,3,5,1,2,2,6,2,5,1,30,2,7.00,3.50,5.33,4.50,3.00,,,,,,,
R_8c5vvego9jkVtT7,3,3,2,3,4,5,6,6,6,4,7,6,6,7,4,3,5,5,5,6,4,3,5,4,5,5,5,6,5,5,3,6,5,5,6,5,5,5,4,3,2,1,4,6,5,1,6,0,32,2,5.00,2.50,5.33,5.00,3.50,,,,,,,
R_e3bi7IFGUy0vB7n,4,4,4,3,4,6,6,6,3,5,7,7,6,7,5,5,1,6,3,6,4,4,6,5,5,5,6,5,5,6,3,5,5,5,5,3,7,5,4,3,#NULL!,1,5,4,6,5,7,1,22,3,5.33,3.00,5.00,5.00,4.00,,,,,,,
R_d4nUg257md09aRf,4,4,3,4,4,6,6,3,6,6,7,6,5,7,3,6,5,3,6,7,2,2,3,6,5,5,6,4,5,4,6,3,6,7,6,3,6,4,3,5,2,#NULL!,2,5,7,2,6,0,34,5,5.33,5.50,6.33,5.00,2.00,,,,,,,
R_a8VPirpFweZnvjT,3,3,4,2,4,1,7,5,3,5,6,7,5,5,2,1,6,4,3,6,5,5,4,6,5,4,5,5,6,5,2,7,6,6,5,4,7,2,3,1,4,5,1,5,5,1,5,0,28,1,4.67,1.50,5.67,5.50,5.00,,,,,,,
R_9KqRJedY7cYHYLH,4,2,3,4,5,3,4,4,5,7,6,6,6,6,6,5,5,5,6,7,6,7,7,7,7,7,7,6,7,7,6,2,7,7,5,3,10,4,2,3,5,1,3,7,7,4,5,0,23,6,7.00,6.00,6.33,6.50,6.50,,,,,,,
R_2ruW2ITqYI6foGN,1,3,1,1,5,#NULL!,6,#NULL!,#NULL!,6,#NULL!,7,#NULL!,#NULL!,6,#NULL!,4,#NULL!,#NULL!,7,4,4,6,4,7,7,5,4,4,6,6,6,4,6,4,2,9,5,4,3,2,1,2,2,7,5,6,1,27,2,6.33,4.00,4.67,4.00,4.00,,,,,,,
R_1FUr7jDdcN90WhL,4,5,2,3,5,6,7,6,5,6,6,7,6,5,6,6,7,6,5,6,4,6,5,4,5,5,5,4,6,5,4,3,4,5,7,4,10,4,5,3,2,1,6,4,7,1,7,0,23,5,5.00,4.50,5.33,4.00,5.00,,,,,,,
R_1X5W21cPpjKBKuh,3,5,4,5,5,5,6,6,6,6,7,7,7,7,6,6,7,7,6,7,1,4,6,5,7,6,6,6,6,6,5,3,6,5,6,5,8,4,3,2,1,#NULL!,6,3,6,3,6,0,27,5,6.33,5.00,5.67,5.50,2.50,,,,,,,
R_2lSFBTFVeVGlKiV,3,5,3,4,5,4,6,5,3,6,6,5,6,4,4,3,2,4,3,6,5,6,6,5,7,7,6,5,4,4,5,5,5,4,6,3,8,5,4,3,2,1,2,2,2,2,4,0,34,3,6.67,4.00,5.00,5.00,5.50,,,,,,,
R_0BxZ6IKOiu8zSFT,1,4,5,1,5,#NULL!,4,7,#NULL!,6,#NULL!,6,7,#NULL!,5,#NULL!,4,7,#NULL!,7,4,3,4,4,5,5,7,4,4,4,7,3,5,5,4,3,6,4,5,2,3,1,1,2,7,2,6,1,21,5,5.67,6.00,4.67,4.00,3.50,,,,,,,
R_5b9kGN2mLWxQBDL,3,4,3,3,5,5,6,4,4,5,6,6,5,6,4,2,2,4,4,6,3,3,6,4,6,6,6,4,5,5,6,3,5,4,4,5,10,5,4,3,2,1,4,1,5,3,6,0,21,5,6.00,5.50,4.33,4.00,3.00,,,,,,,
R_cGX6nXo7QprT8nr,3,3,1,1,3,6,6,#NULL!,#NULL!,5,6,6,#NULL!,#NULL!,4,5,5,#NULL!,#NULL!,6,4,4,6,6,5,6,6,5,6,6,6,2,5,6,4,4,8,2,4,5,3,1,4,1,7,6,6,0,25,6,5.67,6.00,5.00,5.50,4.00,,,,,,,
